periode_data,nama_rute,rute,tanggal,jumlah_bus,jumlah_penumpang
201401,"RUTE 3","TMII - GANDARIA",2014-01-24T00:00:00Z,5,1108
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-24T00:00:00Z,4,806
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-24T00:00:00Z,3,595
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-24T00:00:00Z,4,677
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-24T00:00:00Z,5,1024
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-24T00:00:00Z,3,513
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-24T00:00:00Z,3,476
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-24T00:00:00Z,2,254
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-24T00:00:00Z,4,934
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-24T00:00:00Z,3,382
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-24T00:00:00Z,4,430
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-24T00:00:00Z,2,256
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-24T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-24T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-27T00:00:00Z,4,869
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-27T00:00:00Z,3,565
201401,"RUTE 3","TMII - GANDARIA",2014-01-27T00:00:00Z,5,1093
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-27T00:00:00Z,4,823
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-27T00:00:00Z,4,733
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-27T00:00:00Z,4,641
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-27T00:00:00Z,5,1023
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-27T00:00:00Z,4,698
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-27T00:00:00Z,2,274
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-27T00:00:00Z,2,359
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-27T00:00:00Z,4,830
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-27T00:00:00Z,3,320
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-27T00:00:00Z,3,362
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-27T00:00:00Z,2,275
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-27T00:00:00Z,2,102
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-27T00:00:00Z,2,208
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-28T00:00:00Z,4,778
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-28T00:00:00Z,3,581
201401,"RUTE 3","TMII - GANDARIA",2014-01-28T00:00:00Z,5,1006
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-28T00:00:00Z,5,981
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-28T00:00:00Z,4,729
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-28T00:00:00Z,4,618
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-28T00:00:00Z,5,985
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-28T00:00:00Z,3,564
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-28T00:00:00Z,3,446
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-28T00:00:00Z,2,270
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-28T00:00:00Z,4,823
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-28T00:00:00Z,3,351
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-28T00:00:00Z,3,358
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-28T00:00:00Z,3,434
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-28T00:00:00Z,2,123
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-28T00:00:00Z,2,250
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-29T00:00:00Z,4,789
